space,train_dataset,train_split,eval_dataset,eval_split,epsilon_px,epsilon_norm,epsilon_sq,eval_covered_by_train_weighted,train_covered_by_eval_weighted,train_kmeans_k,eval_kmeans_k
flow,imagenet2dwarp,train,pfwillow,test,0.75,0.0029296875,8.58306884765625e-06,0.2862222222222222,0.22322177734375,8192,8192
flow,imagenet2dwarp,train,pfwillow,test,1.0,0.00390625,1.52587890625e-05,0.5037777777777778,0.34038876953125,8192,8192
flow,imagenet2dwarp,train,pfwillow,test,1.5,0.005859375,3.4332275390625e-05,0.7694444444444445,0.553444921875,8192,8192
flow,imagenet2dwarp,train,pfwillow,test,2.0,0.0078125,6.103515625e-05,0.8577777777777778,0.70735654296875,8192,8192
flow,imagenet2dwarp,train,pfwillow,test,3.0,0.01171875,0.0001373291015625,0.9102222222222223,0.8588095703125,8192,8192
flow,imagenet2dwarp,train,pfwillow,test,4.0,0.015625,0.000244140625,0.9322222222222222,0.9228783203125,8192,8192
flow,imagenet2dwarp,train,pfwillow,test,6.0,0.0234375,0.00054931640625,0.95,0.9733123046875,8192,8192
flow,imagenet2dwarp,train,pfwillow,test,8.0,0.03125,0.0009765625,0.9586666666666667,0.9872732421875,8192,8192
flow,imagenet2dwarp,train,pfwillow,test,12.0,0.046875,0.002197265625,0.9684444444444444,0.9967197265625,8192,8192
flow,imagenet2dwarp,train,pfwillow,test,16.0,0.0625,0.00390625,0.9718888888888889,0.9984427734375,8192,8192
flow,imagenet2dwarp,train,pfwillow,test,24.0,0.09375,0.0087890625,0.9754444444444444,0.99973046875,8192,8192
flow,imagenet2dwarp,train,pfwillow,test,32.0,0.125,0.015625,0.9794444444444445,0.99997646484375,8192,8192
flow,imagenet2dwarp,train,pfwillow,test,48.0,0.1875,0.03515625,0.985,1.0,8192,8192
flow,imagenet2dwarp,train,pfwillow,test,64.0,0.25,0.0625,0.9903333333333333,1.0,8192,8192
flow,imagenet2dwarp,train,pointodyssey,test,0.5,0.001953125,3.814697265625e-06,0.2456,0.0630525390625,8192,8192
