train_dataset,train_split,eval_dataset,eval_split,eval_to_train_auc_weighted,train_to_eval_auc_weighted,eval_to_train_eps_at90_weighted,train_to_eval_eps_at90_weighted,eval_to_train_eps_at95_weighted,train_to_eval_eps_at95_weighted
synthetic_2d_warp,train,flyingthings,test,63.12361054234974,59.90685285937501,1.2699306452524548,9.996736692293705,1.5803897048792666,15.594051393883674
synthetic_2d_warp,train,kitti2012,val,63.33092663951756,40.273679,0.9547821963865659,,1.107114199445753,
synthetic_2d_warp,train,kitti2015,val,63.28675606387824,45.90634149218751,1.0250977326035966,,1.3003680138038878,
synthetic_2d_warp,train,middlebury,val,63.2532958984375,17.04643590625,1.2179641896766578,,1.3791499967206662,
synthetic_2d_warp,train,pfpascal,test,62.61935584092792,58.743924328125004,2.54,10.194711006815892,3.1584615384615367,20.823436906413146
synthetic_2d_warp,train,pfwillow,test,62.32838888888888,60.6695986953125,2.9439252336448614,5.404688556512354,4.627615062761499,11.072118280551237
synthetic_2d_warp,train,pointodyssey,test,63.32608871875,55.467683390625,0.9414153169521533,21.532784235018553,1.0252838871800343,42.262944866597785
synthetic_2d_warp,train,spair,test,57.87036245584638,62.16782921875001,15.621891806390401,2.9264868349605813,24.970345596432534,3.737236739222808
synthetic_2d_warp,train,tss,val,61.70368072509766,59.6787197578125,2.7956156744089475,7.765796461592606,8.79921568627448,21.165069369010098
synthetic_large_zoom,train,flyingthings,test,62.976093667595556,62.737407335937505,1.1193636621191014,2.6815477687032416,1.8462833583528355,3.8909989347851797
synthetic_large_zoom,train,kitti2012,val,63.44604429264659,54.8524819296875,0.6944516563772756,30.713335232396332,0.7436663264396064,49.37274290951547
synthetic_large_zoom,train,kitti2015,val,63.38628116414709,58.54463602343749,0.862722124302927,15.69340577556625,1.0437844022512206,31.27340183209607
synthetic_large_zoom,train,middlebury,val,63.375569661458336,34.13256534375,0.9303315595579207,,1.251382569128456,
