dataset1,split1,dataset2,split2,representation,support_mode,normalization_mode,k,neighbor_agg,self_radius_k,radius_quantile,radius_train,radius_eval,recall,precision,outside,train_to_eval_coverage,eval_to_train_coverage,mean_nn_eval_to_train,median_nn_eval_to_train,p90_nn_eval_to_train,mean_nn_train_to_eval,median_nn_train_to_eval,p90_nn_train_to_eval,kl_method,kl_knn_k,kl_bins,kl_eps,kl_eval_to_train,kl_train_to_eval,n_train_vectors,n_eval_vectors,kl_eval_to_train_hist,kl_train_to_eval_hist
imagenet2dwarp,train,kitti2015,val,flow,global_radius,train_zscore,1,first,5,0.95,0.04948289729654788,0.03068718435242771,0.7901065563495048,0.0041344,0.9958656,0.7901065563495048,0.0041344,0.04335596039891243,0.033856406807899475,0.06478825435042382,0.9744980931282043,0.8819022178649902,1.8185489892959592,knn,20,50,1e-06,6.16353414325789,6.3835771343809595,10000000,398850,3.838692333130089,10.370592241918121
imagenet2dwarp,train,kitti2012,val,flow,global_radius,train_zscore,1,first,5,0.95,0.04948289729654788,0.038679123669862744,0.7786546391752577,0.008509,0.991491,0.7786546391752577,0.008509,0.041470982134342194,0.03509501367807388,0.06406376212835314,1.1177680492401123,1.0487548112869263,2.0188527584075926,knn,20,50,1e-06,5.712663640603653,6.974834667647095,10000000,388000,3.704485087141705,15.75088830747218
imagenet2dwarp,train,spair,test,flow,global_radius,train_zscore,1,first,5,0.95,0.04948289729654788,0.32022859305143353,0.2363536925302565,0.9374201,0.06257990000000002,0.2363536925302565,0.9374201,0.6088589429855347,0.2648431062698364,1.6887697339057925,0.18542079627513885,0.17190274596214294,0.28867045044898987,knn,20,50,1e-06,4.289871662682545,1.6717580280388749,10000000,56682,2.025935928599129,1.4675477138074189
imagenet2dwarp,train,pfpascal,test,flow,global_radius,train_zscore,1,first,5,0.95,0.04948289729654788,0.5607845783233643,0.536039768019884,0.9020413,0.09795869999999995,0.536039768019884,0.9020413,0.09333252906799316,0.0470271036028862,0.2033606186509134,0.34930968284606934,0.3157711625099182,0.557748019695282,knn,20,50,1e-06,0.8759796891547458,1.0619192506991606,10000000,2414,2.9960255798375117,2.0650153141082876
imagenet2dwarp,train,pfwillow,test,flow,global_radius,train_zscore,1,first,5,0.95,0.04948289729654788,0.3549778163433073,0.5361111111111111,0.7035579,0.29644210000000004,0.5361111111111111,0.7035579,0.13694079220294952,0.04664544761180878,0.3636640012264255,0.3094404637813568,0.26003900170326233,0.5580754101276396,knn,20,50,1e-06,1.830755557757704,1.2145155053600414,10000000,9000,2.3864109092274535,1.443415877818519
imagenet2dwarp,train,pointodyssey,test,flow,global_radius,train_zscore,1,first,5,0.95,0.04948289729654788,0.01823161169886589,0.8176289643374128,0.0189635,0.9810365,0.8176289643374128,0.0189635,0.037128619849681854,0.032767605036497116,0.05878609530627727,0.2044285237789154,0.15049174427986145,0.4379670560359954,knn,20,50,1e-06,6.474519314651285,4.630826838314501,10000000,13982160,1.5612707662946625,3.02347519438852
imagenet2dwarp,train,tss,val,flow,global_radius,train_zscore,1,first,5,0.95,0.04948289729654788,0.06590468212962147,0.60066,0.2129545,0.7870455000000001,0.60066,0.2129545,0.19385430216789246,0.04223983362317085,0.4588423490524279,0.20988984405994415,0.139979287981987,0.48000715970993035,knn,20,50,1e-06,2.7855219646215366,2.0970106556917494,10000000,800000,0.9782081796080301,0.9305146672967717
imagenet2dwarp,train,middlebury,val,flow,global_radius,train_zscore,1,first,5,0.95,0.04948289729654788,0.044377353228628645,0.6134583333333333,0.0058829,0.9941171,0.6134583333333333,0.0058829,0.05090779438614845,0.04317260533571243,0.08328361064195633,1.1069819927215576,1.026288390159607,2.0328176021575928,knn,20,50,1e-06,5.505965080953225,5.423485519491657,10000000,96000,3.6931746594246944,17.63060799359485
synthetic,train,flyingthings,test,flow,global_radius,train_zscore,1,first,5,0.95,0.06333763152360916,0.04977787323296069,0.9289495137299771,0.4924448,0.5075552,0.9289495137299771,0.4924448,0.08984822779893875,0.032797232270240784,0.05534974858164787,0.08136757463216782,0.05043952167034149,0.16428956538438796,knn,20,50,1e-06,1.7139074725934544,1.527827425919139,10000000,13984000,0.35652741134661453,0.4965828242413917
synthetic,train,kitti2015,val,flow,global_radius,train_zscore,1,first,5,0.95,0.06333763152360916,0.030589809641242027,0.9664134386360788,0.0112839,0.9887161,0.9664134386360788,0.0112839,0.031679775565862656,0.024596065282821655,0.04007506631314755,0.9309502243995667,0.7550345659255981,1.9287331223487854,knn,20,50,1e-06,4.998215101011431,5.01981313438096,10000000,398850,3.584805169711241,9.23930138293007
