arch,regime,source,benchmark,peak_pck,mean_nn_a_to_b,mean_nn_b_to_a,mean_nn_sym
raft,FF,sintel,kitti2012,94.0246,0.037665706127882,0.0002321781939826,0.0189489421609323
catspp,FF,sintel,kitti2015,89.5554,0.0514335706830024,0.0006700720405206,0.0260518213617615
catspp,TT,sintel,kitti2015,96.3826,0.0514335706830024,0.0006700720405206,0.0260518213617615
glunet,FF,sintel,kitti2015,90.0772,0.0514335706830024,0.0006700720405206,0.0260518213617615
glunet,TT,sintel,kitti2015,96.2638,0.0514335706830024,0.0006700720405206,0.0260518213617615
raft,FF,sintel,kitti2015,84.9165,0.0514335706830024,0.0006700720405206,0.0260518213617615
catspp,FF,sintel,pfpascal,15.8031,0.0110351536422967,0.0129309864714741,0.0119830700568854
catspp,TT,sintel,pfpascal,45.1843,0.0110351536422967,0.0129309864714741,0.0119830700568854
glunet,FF,sintel,pfpascal,10.3086,0.0110351536422967,0.0129309864714741,0.0119830700568854
glunet,TT,sintel,pfpascal,25.0318,0.0110351536422967,0.0129309864714741,0.0119830700568854
raft,FF,sintel,pfpascal,13.923,0.0110351536422967,0.0129309864714741,0.0119830700568854
catspp,FF,sintel,pfwillow,17.9333,0.0193438157439231,0.0231178887188434,0.0212308522313833
catspp,TT,sintel,pfwillow,49.6444,0.0193438157439231,0.0231178887188434,0.0212308522313833
glunet,FF,sintel,pfwillow,14.7707,0.0193438157439231,0.0231178887188434,0.0212308522313833
glunet,TT,sintel,pfwillow,27.2457,0.0193438157439231,0.0231178887188434,0.0212308522313833
raft,FF,sintel,pfwillow,16.4025,0.0193438157439231,0.0231178887188434,0.0212308522313833
catspp,FF,sintel,pointodyssey,47.6015,0.0005055069341324,0.0004277767438907,0.0004666418390115
catspp,TT,sintel,pointodyssey,73.2754,0.0005055069341324,0.0004277767438907,0.0004666418390115
glunet,FF,sintel,pointodyssey,85.9719,0.0005055069341324,0.0004277767438907,0.0004666418390115
glunet,TT,sintel,pointodyssey,90.6576,0.0005055069341324,0.0004277767438907,0.0004666418390115
raft,FF,sintel,pointodyssey,74.9348,0.0005055069341324,0.0004277767438907,0.0004666418390115
catspp,FF,sintel,spair,3.7321,0.0062588271684944,0.1492213159799575,0.077740071574226
catspp,TT,sintel,spair,17.4154,0.0062588271684944,0.1492213159799575,0.077740071574226
glunet,FF,sintel,spair,2.3266,0.0062588271684944,0.1492213159799575,0.077740071574226
glunet,TT,sintel,spair,5.0597,0.0062588271684944,0.1492213159799575,0.077740071574226
raft,FF,sintel,spair,2.3576,0.0062588271684944,0.1492213159799575,0.077740071574226
catspp,FF,sintel,synthetic,22.7542,0.0009542070911265,0.2453484386205673,0.1231513228558469
catspp,TT,sintel,synthetic,39.1069,0.0009542070911265,0.2453484386205673,0.1231513228558469
glunet,FF,sintel,synthetic,10.5186,0.0009542070911265,0.2453484386205673,0.1231513228558469
glunet,TT,sintel,synthetic,20.8004,0.0009542070911265,0.2453484386205673,0.1231513228558469
raft,FF,sintel,synthetic,10.7984,0.0009542070911265,0.2453484386205673,0.1231513228558469
catspp,FF,sintel,tss,32.9288,0.0033743360545486,0.0475006066262722,0.0254374713404104
catspp,TT,sintel,tss,64.5396,0.0033743360545486,0.0475006066262722,0.0254374713404104
glunet,FF,sintel,tss,23.8706,0.0033743360545486,0.0475006066262722,0.0254374713404104
glunet,TT,sintel,tss,43.3458,0.0033743360545486,0.0475006066262722,0.0254374713404104
raft,FF,sintel,tss,24.4577,0.0033743360545486,0.0475006066262722,0.0254374713404104
catspp,FF,spair,flyingthings,3.3861,0.0142317740246653,0.0051286630332469,0.0096802185289561
catspp,TT,spair,flyingthings,68.3472,0.0142317740246653,0.0051286630332469,0.0096802185289561
glunet,FF,spair,flyingthings,4.0965,0.0142317740246653,0.0051286630332469,0.0096802185289561
glunet,TT,spair,flyingthings,39.6279,0.0142317740246653,0.0051286630332469,0.0096802185289561
raft,FF,spair,flyingthings,3.4438,0.0142317740246653,0.0051286630332469,0.0096802185289561
catspp,FF,spair,kitti2012,10.184,0.489285409450531,0.0018004780868068,0.2455429437686689
catspp,TT,spair,kitti2012,84.0079,0.489285409450531,0.0018004780868068,0.2455429437686689
glunet,FF,spair,kitti2012,12.4578,0.489285409450531,0.0018004780868068,0.2455429437686689
glunet,TT,spair,kitti2012,54.1912,0.489285409450531,0.0018004780868068,0.2455429437686689
raft,FF,spair,kitti2012,12.1716,0.489285409450531,0.0018004780868068,0.2455429437686689
catspp,FF,spair,kitti2015,10.8859,0.4455235600471496,0.00203482597135,0.2237791930092498
catspp,TT,spair,kitti2015,85.1192,0.4455235600471496,0.00203482597135,0.2237791930092498
glunet,FF,spair,kitti2015,13.6098,0.4455235600471496,0.00203482597135,0.2237791930092498
glunet,TT,spair,kitti2015,61.2326,0.4455235600471496,0.00203482597135,0.2237791930092498
raft,FF,spair,kitti2015,15.6081,0.4455235600471496,0.00203482597135,0.2237791930092498
catspp,FF,spair,pfpascal,3.0238,0.0975779145956039,0.0019823953043669,0.0497801549499854
catspp,TT,spair,pfpascal,40.9858,0.0975779145956039,0.0019823953043669,0.0497801549499854
glunet,FF,spair,pfpascal,4.4643,0.0975779145956039,0.0019823953043669,0.0497801549499854
glunet,TT,spair,pfpascal,30.356,0.0975779145956039,0.0019823953043669,0.0497801549499854
raft,FF,spair,pfpascal,4.4726,0.0975779145956039,0.0019823953043669,0.0497801549499854
catspp,FF,spair,pfwillow,4.8667,0.0533487424254417,0.0015953895635902,0.027472065994516
catspp,TT,spair,pfwillow,45.7111,0.0533487424254417,0.0015953895635902,0.027472065994516
glunet,FF,spair,pfwillow,5.6222,0.0533487424254417,0.0015953895635902,0.027472065994516
glunet,TT,spair,pfwillow,34.1444,0.0533487424254417,0.0015953895635902,0.027472065994516
raft,FF,spair,pfwillow,8.1389,0.0533487424254417,0.0015953895635902,0.027472065994516
catspp,FF,spair,pointodyssey,3.4912,0.0720692053437233,0.0020401973742991,0.0370547013590112
catspp,TT,spair,pointodyssey,45.8507,0.0720692053437233,0.0020401973742991,0.0370547013590112
glunet,FF,spair,pointodyssey,8.5059,0.0720692053437233,0.0020401973742991,0.0370547013590112
glunet,TT,spair,pointodyssey,55.0086,0.0720692053437233,0.0020401973742991,0.0370547013590112
raft,FF,spair,pointodyssey,9.7147,0.0720692053437233,0.0020401973742991,0.0370547013590112
catspp,FF,spair,spair,3.018,0.0048544974997639,0.002389405388385,0.0036219514440745
catspp,TT,spair,spair,27.9373,0.0048544974997639,0.002389405388385,0.0036219514440745
glunet,FF,spair,spair,3.0334,0.0048544974997639,0.002389405388385,0.0036219514440745
glunet,TT,spair,spair,14.6684,0.0048544974997639,0.002389405388385,0.0036219514440745
raft,FF,spair,spair,3.1416,0.0048544974997639,0.002389405388385,0.0036219514440745
catspp,FF,spair,synthetic,4.0712,0.0033966454211622,0.0026235037948936,0.0030100746080279
catspp,TT,spair,synthetic,41.0818,0.0033966454211622,0.0026235037948936,0.0030100746080279
